fileoff,w,h,dsc_off,data_size,palette_opaque_count,period16?,notes
0x339140,32,44,0x3614f4,768,0,N,REJECT: pal_fail;flat_nibble(1.000)
0x339480,32,44,0x361834,768,0,N,REJECT: pal_fail;flat_nibble(1.000)
0x3397c0,32,44,0x361b74,768,0,N,REJECT: pal_fail;flat_nibble(1.000)
0x339b00,32,44,0x361eb4,768,0,N,REJECT: pal_fail;flat_nibble(1.000)
0x339e40,32,44,0x3621f4,768,0,N,REJECT: pal_fail;flat_nibble(1.000)
0x33a180,32,44,0x362534,768,0,N,REJECT: pal_fail;flat_nibble(0.989)
0x33a4c0,32,44,0x362874,768,0,N,REJECT: pal_fail
0x33ae80,32,44,0x363234,768,0,N,REJECT: pal_fail;flat_nibble(0.970)
0x33b1c0,32,44,0x363574,768,0,N,REJECT: pal_fail;flat_nibble(0.999)
0x33b500,32,44,0x3638b4,768,0,N,REJECT: pal_fail;flat_nibble(1.000)
0x33b840,32,44,0x363bf4,768,0,N,REJECT: pal_fail;flat_nibble(1.000)
0x33bb80,32,44,0x363f34,768,0,N,REJECT: pal_fail;flat_nibble(1.000)
0x33bec0,32,44,0x364274,768,0,N,REJECT: pal_fail;flat_nibble(1.000)
0x33c200,32,44,0x3645b4,768,0,N,REJECT: pal_fail;flat_nibble(0.985)
0x33c540,32,44,0x3648f4,768,0,N,REJECT: pal_fail
0x33c880,32,44,0x364c34,768,0,N,REJECT: pal_fail
0x33cbc0,32,44,0x364f74,768,0,N,REJECT: pal_fail
0x33d580,32,44,0x365934,768,0,N,REJECT: pal_fail
0x33e280,32,44,0x366634,768,0,N,REJECT: pal_fail
0x33e5c0,32,44,0x366974,768,0,N,REJECT: pal_fail
0x33f2c0,32,44,0x367674,768,0,N,REJECT: pal_fail
0x33f940,32,44,0x367cf4,768,0,N,REJECT: pal_fail;flat_nibble(0.972)
0x33fc80,32,44,0x368034,768,0,N,REJECT: flat_nibble(0.990)
0x33ffc0,32,44,0x368374,768,0,N,REJECT: pal_fail;flat_nibble(0.987)
0x340300,32,44,0x3686b4,768,0,N,REJECT: flat_nibble(0.999)
0x340640,32,44,0x3689f4,768,0,N,REJECT: pal_fail;flat_nibble(0.986)
0x340980,32,44,0x368d34,768,0,N,REJECT: flat_nibble(0.999)
0x340cc0,32,44,0x369074,768,0,N,REJECT: pal_fail;flat_nibble(0.986)
0x341000,32,44,0x3693b4,768,0,N,REJECT: flat_nibble(0.996)
0x341340,32,44,0x3696f4,768,0,N,REJECT: flat_nibble(0.990)
0x341680,32,44,0x369a34,768,0,N,REJECT: flat_nibble(0.987)
0x3419c0,32,44,0x369d74,768,0,N,REJECT: flat_nibble(0.979)
0x342040,32,44,0x36a3f4,768,0,N,REJECT: pal_fail
0x342380,32,44,0x36a734,768,0,N,REJECT: pal_fail
0x3426c0,32,44,0x36aa74,768,0,N,REJECT: pal_fail
0x343080,32,44,0x36b434,768,0,N,REJECT: pal_fail
0x3433c0,32,44,0x36b774,768,0,N,REJECT: pal_fail
0x344680,32,32,0x36ca3c,576,0,N,REJECT: pal_fail
